Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1274;20153;"AIDS and Behavior";journal;"10907165, 15733254";"Springer New York";No;No;1,251;Q1;133;376;1108;18999;3547;1100;2,79;50,53;55,27;10;359;United States;Northern America;"Springer New York";"1997-2025";"Infectious Diseases (Q1); Public Health, Environmental and Occupational Health (Q1); Social Psychology (Q1)";"Medicine; Psychology"
1275;4700152872;"Journal of Neuroimmune Pharmacology";journal;"15571890, 15571904";"Springer";No;No;1,251;Q1;94;56;158;3837;735;146;3,87;68,52;44,81;1;21;United States;Northern America;"Springer";"2006-2025";"Neuroscience (miscellaneous) (Q1); Pharmacology (Q1); Immunology (Q2); Immunology and Allergy (Q2)";"Immunology and Microbiology; Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
1276;29551;"Bone";journal;"87563282";"Elsevier Inc.";No;No;1,250;Q1;230;232;896;12781;3405;846;3,75;55,09;39,85;0;52;United States;Northern America;"Elsevier Inc.";"1985-2025";"Endocrinology, Diabetes and Metabolism (Q1); Histology (Q1); Physiology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1277;27891;"Earthquake Spectra";journal;"87552930";"Earthquake Engineering Research Institute";No;No;1,250;Q1;119;121;352;6077;1386;334;3,98;50,22;25,23;1;82;United States;Northern America;"Earthquake Engineering Research Institute";"1984-1990, 1992-1993, 1996-2025";"Geophysics (Q1); Geotechnical Engineering and Engineering Geology (Q1)";"Earth and Planetary Sciences"
1278;21100897027;"JCO Clinical Cancer Informatics";journal;"24734276";"Lippincott Williams and Wilkins";No;No;1,250;Q1;41;143;365;4904;951;337;2,29;34,29;44,91;0;119;United States;Northern America;"Lippincott Williams and Wilkins";"2017-2025";"Health Informatics (Q1); Oncology (Q1); Cancer Research (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1279;32795;"Journal of Dairy Science";journal;"15253198, 00220302";"Elsevier Inc.";Yes;No;1,250;Q1;241;826;2419;46241;10943;2412;4,43;55,98;44,27;7;154;United States;Northern America;"Elsevier Inc.";"1917-2025";"Animal Science and Zoology (Q1); Food Science (Q1); Genetics (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
1280;21100889709;"Pain Reports";journal;"24712531";"Lippincott Williams and Wilkins";Yes;No;1,250;Q1;47;100;244;5361;963;236;3,15;53,61;44,96;0;10;United States;Northern America;"Lippincott Williams and Wilkins";"2016-2025";"Anesthesiology and Pain Medicine (Q1)";"Medicine"
1281;21101094829;"Brain, Behavior, and Immunity - Health";journal;"26663546";"Elsevier Inc.";Yes;No;1,249;Q1;35;181;467;12680;1885;457;3,60;70,06;55,14;0;65;United States;Northern America;"Elsevier Inc.";"2020-2025";"Nephrology (Q1); Psychiatry and Mental Health (Q1)";"Medicine"
1282;21100248023;"CPT: Pharmacometrics and Systems Pharmacology";journal;"21638306";"American Society for Clinical Pharmacology and Therapeutics";Yes;No;1,249;Q1;60;193;439;6709;1500;409;3,09;34,76;42,34;0;67;United States;Northern America;"American Society for Clinical Pharmacology and Therapeutics";"2012-2025";"Cardiology and Cardiovascular Medicine (Q1); Modeling and Simulation (Q1); Pharmacology (medical) (Q1)";"Mathematics; Medicine"
1283;21100784665;"IEEE Transactions on Cognitive and Developmental Systems";journal;"23798920, 23798939";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,249;Q1;62;227;435;11677;2589;426;5,48;51,44;28,01;0;22;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2016-2025";"Artificial Intelligence (Q1); Software (Q1)";"Computer Science"
1284;18069;"Neurosurgery";journal;"15244040, 0148396X";"Lippincott Williams and Wilkins";Yes;No;1,249;Q1;229;439;1501;10776;3484;883;2,20;24,55;24,45;0;71;United States;Northern America;"Lippincott Williams and Wilkins";"1977-2025";"Neurology (clinical) (Q1); Surgery (Q1)";"Medicine"
1285;28946;"Seismological Research Letters";journal;"19382057, 08950695";"Seismological Society of America";No;No;1,249;Q1;104;261;683;13207;2042;674;3,07;50,60;29,14;2;84;United States;Northern America;"Seismological Society of America";"1984-1985, 1987-1993, 1995-2025";"Geophysics (Q1)";"Earth and Planetary Sciences"
1286;12887;"Cognitive Therapy and Research";journal;"01475916, 15732819";"Springer New York";No;No;1,248;Q1;120;131;272;8031;863;269;2,97;61,31;55,43;0;17;United States;Northern America;"Springer New York";"1977-2025";"Clinical Psychology (Q1); Experimental and Cognitive Psychology (Q1)";"Psychology"
1287;23896;"Journal of Geometric Analysis";journal;"10506926, 1559002X";"Springer New York";No;No;1,248;Q1;51;375;1110;12176;1474;1109;1,43;32,47;22,78;0;0;United States;Northern America;"Springer New York";"1991-2025";"Geometry and Topology (Q1)";"Mathematics"
1288;17225;"Journal of Magnetic Resonance Imaging";journal;"15222586, 10531807";"John Wiley and Sons Inc";No;No;1,248;Q1;189;714;1414;22205;4258;898;2,73;31,10;39,65;0;228;United States;Northern America;"John Wiley and Sons Inc";"1991-2025";"Radiology, Nuclear Medicine and Imaging (Q1)";"Medicine"
1289;21100869398;"Work, Aging and Retirement";journal;"20544650";"Oxford University Press";No;No;1,248;Q1;39;33;91;2083;331;81;3,31;63,12;56,79;4;16;United States;Northern America;"Oxford University Press";"2015-2024";"Economics, Econometrics and Finance (miscellaneous) (Q1); Geriatrics and Gerontology (Q1); Industrial Relations (Q1); Life-span and Life-course Studies (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Medicine; Social Sciences"
1290;21101059747;"IEEE Open Access Journal of Power and Energy";journal;"26877910";"Institute of Electrical and Electronics Engineers Inc.";Yes;No;1,246;Q1;29;57;171;2094;678;166;3,74;36,74;23,74;0;23;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2020-2025";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1)";"Energy; Engineering"
1291;18000156704;"Mathematical Thinking and Learning";journal;"15327833, 10986065";"Routledge";No;No;1,246;Q1;36;42;53;2467;205;52;3,40;58,74;57,26;0;5;United States;Northern America;"Routledge";"2009-2025";"Developmental and Educational Psychology (Q1); Education (Q1); Mathematics (miscellaneous) (Q1)";"Mathematics; Psychology; Social Sciences"
1292;21101257840;"Journal of Extracellular Biology";journal;"27682811";"John Wiley and Sons Inc";Yes;No;1,246;Q2;11;71;86;5333;385;82;4,48;75,11;50,17;0;35;United States;Northern America;"John Wiley and Sons Inc";"2022-2025";"Cell Biology (Q2)";"Biochemistry, Genetics and Molecular Biology"
1293;21226;"Drug Metabolism and Disposition";journal;"00909556, 1521009X";"Elsevier Inc.";No;No;1,245;Q1;198;153;429;8042;1753;418;3,90;52,56;40,55;0;40;United States;Northern America;"Elsevier Inc.";"1973-2025";"Pharmaceutical Science (Q1); Pharmacology (Q1)";"Pharmacology, Toxicology and Pharmaceutics"
1294;18643;"Journal of Computing in Civil Engineering";journal;"08873801";"American Society of Civil Engineers (ASCE)";No;No;1,244;Q1;107;54;167;3243;1208;167;6,04;60,06;27,56;0;22;United States;Northern America;"American Society of Civil Engineers (ASCE)";"1987-2025";"Civil and Structural Engineering (Q1); Computer Science Applications (Q1)";"Computer Science; Engineering"
1295;29401;"Journal of the Japanese and International Economies";journal;"08891583, 10958681";"Academic Press Inc.";No;No;1,244;Q1;50;21;86;704;360;86;3,29;33,52;21,74;0;12;United States;Northern America;"Academic Press Inc.";"1987-2025";"Economics and Econometrics (Q1); Finance (Q1); Political Science and International Relations (Q1)";"Economics, Econometrics and Finance; Social Sciences"
1296;21101087138;"Food Frontiers";journal;"26438429";"John Wiley and Sons Inc";Yes;No;1,243;Q1;32;178;217;16388;1815;212;7,23;92,07;46,37;0;65;United States;Northern America;"John Wiley and Sons Inc";"2020-2025";"Food Science (Q1)";"Agricultural and Biological Sciences"
1297;20369;"Journal of Family Violence";journal;"08857482, 15732851";"Springer New York";No;No;1,243;Q1;98;237;374;13551;1544;369;4,39;57,18;75,60;10;232;United States;Northern America;"Springer New York";"1986-2025";"Clinical Psychology (Q1); Law (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
1298;31405;"Journal of Archaeological Science";journal;"03054403, 10959238";"Elsevier Inc.";No;No;1,242;Q1;159;136;348;10534;1079;336;2,85;77,46;42,33;0;34;United States;Northern America;"Elsevier Inc.";"1974-2025";"Archeology (Q1); Archeology (arts and humanities) (Q1); History (Q1)";"Arts and Humanities; Social Sciences"
1299;21100218506;"ACS Synthetic Biology";journal;"21615063";"American Chemical Society";No;No;1,241;Q1;102;381;1073;21492;4677;1070;4,16;56,41;37,37;2;67;United States;Northern America;"American Chemical Society";"2012-2025";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Biomedical Engineering (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Engineering; Medicine"
1300;21100942216;"BJS Open";journal;"24749842";"Oxford University Press";Yes;No;1,241;Q1;39;170;511;5632;1665;442;3,04;33,13;27,63;2;79;United States;Northern America;"Oxford University Press";"2017-2025";"Medicine (miscellaneous) (Q1); Surgery (Q1)";"Medicine"
1301;23326;"American Journal of Physiology - Lung Cellular and Molecular Physiology";journal;"15221504, 10400605";"American Physiological Society";No;No;1,240;Q1;186;155;512;8520;1750;469;3,29;54,97;43,90;0;88;United States;Northern America;"American Physiological Society";"1989-2025";"Physiology (Q1); Physiology (medical) (Q1); Pulmonary and Respiratory Medicine (Q1); Cell Biology (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1302;18487;"Cellular Signalling";journal;"18733913, 08986568";"Elsevier Inc.";No;No;1,239;Q2;172;454;809;29668;3618;806;3,96;65,35;42,92;0;291;United States;Northern America;"Elsevier Inc.";"1989-2025";"Cell Biology (Q2)";"Biochemistry, Genetics and Molecular Biology"
1303;16766;"Journal of Neuroscience Research";journal;"10974547, 03604012";"Wiley-Liss Inc.";No;No;1,239;Q2;181;145;485;11940;1837;462;3,45;82,34;46,69;0;17;United States;Northern America;"Wiley-Liss Inc.";"1975-2025";"Cellular and Molecular Neuroscience (Q2)";"Neuroscience"
1304;6300153105;"Current Opinion in HIV and AIDS";journal;"1746630X";"Lippincott Williams and Wilkins Ltd.";No;No;1,237;Q1;82;68;152;4264;510;133;3,50;62,71;59,76;0;63;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"2007-2025";"Hematology (Q1); Infectious Diseases (Q1); Oncology (nursing) (Q1); Virology (Q1); Immunology (Q2); Oncology (Q2)";"Immunology and Microbiology; Medicine; Nursing"
1305;21100850718;"mSphere";journal;"23795042";"American Society for Microbiology";Yes;No;1,237;Q1;77;357;842;18883;3011;827;2,86;52,89;46,81;2;123;United States;Northern America;"American Society for Microbiology";"2016-2025";"Microbiology (Q1); Molecular Biology (Q2)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
1306;21101170038;"Journal of Psychopathology and Clinical Science";journal;"2769755X, 27697541";"American Psychological Association";No;No;1,236;Q1;9;79;69;4990;227;69;3,29;63,16;49,03;0;20;United States;Northern America;"American Psychological Association";"2023-2025";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1); Psychology (miscellaneous) (Q1); Biological Psychiatry (Q2)";"Medicine; Neuroscience; Psychology"
1307;23940;"Journal of Mathematical Behavior";journal;"07323123";"Elsevier Inc.";No;No;1,235;Q1;61;78;175;4443;415;173;2,40;56,96;54,40;0;6;United States;Northern America;"Elsevier Inc.";"1994-2025";"Applied Mathematics (Q1); Applied Psychology (Q1); Education (Q1)";"Mathematics; Psychology; Social Sciences"
1308;26396;"Organic Letters";journal;"15237052, 15237060";"American Chemical Society";No;No;1,235;Q1;262;2018;5293;84501;26174;5278;5,05;41,87;34,17;0;62;United States;Northern America;"American Chemical Society";"1999-2025";"Biochemistry (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
1309;21101020041;"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies";journal;"24749567";"Association for Computing Machinery (ACM)";No;No;1,235;Q1;49;268;548;20165;3950;548;6,55;75,24;32,04;0;35;United States;Northern America;"Association for Computing Machinery (ACM)";"2017-2024";"Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Human-Computer Interaction (Q1)";"Computer Science"
1310;18120;"ACM Transactions on Mathematical Software";journal;"15577295, 00983500";"Association for Computing Machinery (ACM)";No;No;1,234;Q1;97;29;126;1164;456;126;3,38;40,14;16,87;0;0;United States;Northern America;"Association for Computing Machinery (ACM)";"1975-2024";"Applied Mathematics (Q1); Software (Q1)";"Computer Science; Mathematics"
1311;20440;"Journal of the American College of Surgeons";journal;"18791190, 10727515";"Lippincott Williams and Wilkins";No;No;1,234;Q1;212;296;1074;4883;2166;625;1,93;16,50;37,62;0;78;United States;Northern America;"Lippincott Williams and Wilkins";"1994-2025";"Surgery (Q1)";"Medicine"
1312;22111;"Journal of Autism and Developmental Disorders";journal;"15733432, 01623257";"Springer New York";No;No;1,233;Q1;217;761;1269;42704;6208;1202;4,46;56,12;66,67;12;143;United States;Northern America;"Springer New York";"1979-2025";"Developmental and Educational Psychology (Q1)";"Psychology"
1313;5700165203;"Journal of Cardiopulmonary Rehabilitation and Prevention";journal;"1932751X, 19327501";"Lippincott Williams and Wilkins Ltd.";Yes;No;1,233;Q1;80;90;260;2928;662;230;2,27;32,53;44,18;0;40;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"2007-2025";"Cardiology and Cardiovascular Medicine (Q1); Pulmonary and Respiratory Medicine (Q1); Rehabilitation (Q1)";"Medicine"
1314;19700187625;"Journal of Research on Educational Effectiveness";journal;"19345739, 19345747";"Routledge";No;No;1,233;Q1;49;75;99;4513;288;99;2,36;60,17;55,80;9;39;United States;Northern America;"Routledge";"2008-2025";"Education (Q1)";"Social Sciences"
1315;16916;"Physical Therapy";journal;"00319023, 15386724";"Oxford University Press";No;No;1,233;Q1;184;207;635;7810;2455;563;3,04;37,73;54,69;4;65;United States;Northern America;"Oxford University Press";"1964-2025";"Physical Therapy, Sports Therapy and Rehabilitation (Q1)";"Health Professions"
1316;21101018849;"ACS Pharmacology and Translational Science";journal;"25759108";"American Chemical Society";No;No;1,230;Q1;43;307;433;21917;2056;417;3,87;71,39;42,44;0;162;United States;Northern America;"American Chemical Society";"2018-2025";"Pharmacology (Q1); Pharmacology (medical) (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
1317;25422;"Calcified Tissue International";journal;"14320827, 0171967X";"Springer";No;No;1,230;Q1;137;152;393;6876;1560;372;3,67;45,24;43,56;0;33;United States;Northern America;"Springer";"1973, 1976-1977, 1979-2025";"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Orthopedics and Sports Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1318;23763;"Advances in Dental Research";journal;"08959374, 15440737";"SAGE Publications Inc.";No;No;1,229;Q1;74;1;1;38;7;1;7,00;38,00;60,00;0;1;United States;Northern America;"SAGE Publications Inc.";"1987-2003, 2005-2006, 2008-2016, 2018-2019, 2023-2024";"Dental Hygiene (Q1); Dentistry (miscellaneous) (Q1)";"Dentistry"
1319;25688;"Journal of Endodontics";journal;"00992399, 18783554";"Elsevier Inc.";No;No;1,229;Q1;189;197;612;6772;2647;570;3,58;34,38;42,96;1;13;United States;Northern America;"Elsevier Inc.";"1975-2025";"Dentistry (miscellaneous) (Q1)";"Dentistry"
1320;15482;"Journal of Experimental Psychology: Learning Memory and Cognition";journal;"19391285, 02787393";"American Psychological Association";No;No;1,227;Q1;181;111;376;8446;976;375;2,21;76,09;38,57;0;6;United States;Northern America;"American Psychological Association";"1975, 1982-2025";"Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1)";"Psychology; Social Sciences"
1321;20489;"Annals of Thoracic Surgery";journal;"15526259, 00034975";"Elsevier Inc.";No;No;1,226;Q1;230;522;2953;9949;5534;1856;1,80;19,06;26,37;2;160;United States;Northern America;"Elsevier Inc.";"1965-2025";"Cardiology and Cardiovascular Medicine (Q1); Pulmonary and Respiratory Medicine (Q1); Surgery (Q1)";"Medicine"
1322;19700186336;"Psychology of Violence";journal;"21520828, 2152081X";"American Psychological Association";No;No;1,226;Q1;67;85;140;5357;512;140;2,87;63,02;68,10;1;69;United States;Northern America;"American Psychological Association";"2010-2025";"Applied Psychology (Q1); Health (social science) (Q1); Social Psychology (Q1)";"Psychology; Social Sciences"
1323;15185;"Academic Emergency Medicine";journal;"15532712, 10696563";"Wiley-Blackwell";No;No;1,225;Q1;148;236;641;5642;1352;382;1,91;23,91;40,38;0;58;United States;Northern America;"Wiley-Blackwell";"1994-2025";"Emergency Medicine (Q1); Medicine (miscellaneous) (Q1)";"Medicine"
1324;14840;"Cellular and Molecular Neurobiology";journal;"02724340, 15736830";"Springer";No;No;1,225;Q1;108;78;574;6770;2548;566;4,62;86,79;42,89;0;16;United States;Northern America;"Springer";"1981-2025";"Medicine (miscellaneous) (Q1); Cell Biology (Q2); Cellular and Molecular Neuroscience (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
1325;17773;"Mediators of Inflammation";journal;"09629351, 14661861";"John Wiley and Sons Ltd";Yes;No;1,225;Q2;145;66;607;2375;3012;604;4,36;35,98;45,88;0;31;United States;Northern America;"John Wiley and Sons Ltd";"1992-2025";"Cell Biology (Q2); Immunology (Q2)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
1326;15031;"Infant Mental Health Journal";journal;"01639641, 10970355";"John Wiley &amp; Sons Inc.";No;No;1,224;Q1;86;53;185;3290;599;185;2,91;62,08;83,94;0;3;United States;Northern America;"John Wiley &amp; Sons Inc.";"1980-2025";"Developmental and Educational Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
1327;12277;"Management Accounting Research";journal;"10445005, 10961224";"Academic Press";No;No;1,224;Q1;106;16;48;1313;232;46;4,16;82,06;26,47;0;3;United States;Northern America;"Academic Press";"1990-2025";"Accounting (Q1); Finance (Q1); Information Systems and Management (Q1)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
1328;21101039765;"Advanced Quantum Technologies";journal;"25119044";"John Wiley &amp; Sons Inc.";No;No;1,223;Q1;43;254;341;15809;1744;339;4,63;62,24;27,71;2;7;United States;Northern America;"John Wiley &amp; Sons Inc.";"2018-2025";"Computational Theory and Mathematics (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Mathematical Physics (Q1); Nuclear and High Energy Physics (Q1); Statistical and Nonlinear Physics (Q1)";"Computer Science; Engineering; Materials Science; Mathematics; Physics and Astronomy"
1329;14316;"Harvard Law Review";journal;"0017811X";"Harvard Law Review Association";No;No;1,223;Q1;97;69;144;4604;288;91;1,72;66,72;40,00;0;21;United States;Northern America;"Harvard Law Review Association";"1973-2024";"Law (Q1)";"Social Sciences"
1330;21101196741;"Pure and Applied Analysis";journal;"25785885, 25785893";"Mathematical Sciences Publishers";No;No;1,223;Q1;12;32;69;1051;86;69;1,13;32,84;14,52;0;0;United States;Northern America;"Mathematical Sciences Publishers";"2019-2025";"Analysis (Q1); Mathematical Physics (Q1)";"Mathematics"
1331;17481;"FEBS Letters";journal;"00145793, 18733468";"John Wiley and Sons Inc";No;No;1,222;Q1;289;252;701;17735;2232;678;2,89;70,38;44,89;0;54;United States;Northern America;"John Wiley and Sons Inc";"1968-2025";"Biochemistry (Q1); Biophysics (Q1); Cell Biology (Q2); Genetics (Q2); Molecular Biology (Q2); Structural Biology (Q2)";"Biochemistry, Genetics and Molecular Biology"
1332;22170;"Plastic and Reconstructive Surgery";journal;"15294242, 00321052";"Lippincott Williams and Wilkins";Yes;No;1,222;Q1;220;783;2588;23142;5925;1631;2,39;29,56;38,06;0;106;United States;Northern America;"Lippincott Williams and Wilkins";"1946-2025";"Surgery (Q1)";"Medicine"
1333;21100926541;"Information and Inference";journal;"20498772";"Oxford University Press";No;No;1,220;Q1;33;39;142;2083;298;142;1,93;53,41;24,21;0;0;United States;Northern America;"Oxford University Press";"2012-2025";"Analysis (Q1); Applied Mathematics (Q1); Computational Theory and Mathematics (Q1); Numerical Analysis (Q1); Statistics and Probability (Q1)";"Computer Science; Mathematics"
1334;21101185683;"Journal of Race Ethnicity and the City";journal;"26884674, 26884682";"Routledge";No;No;1,220;Q1;9;16;29;1220;112;27;1,58;76,25;71,43;1;10;United States;Northern America;"Routledge";"2020-2024";"Anthropology (Q1); Geography, Planning and Development (Q1); Political Science and International Relations (Q1); Public Administration (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)";"Social Sciences"
1335;17600155059;"Cancer Cytopathology";journal;"1934662X, 19346638";"John Wiley and Sons Inc";No;No;1,220;Q2;74;102;344;2606;989;236;2,89;25,55;46,44;0;59;United States;Northern America;"John Wiley and Sons Inc";"2008-2025";"Cancer Research (Q2); Oncology (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1336;17400154824;"Stem Cell Reviews and Reports";journal;"26293269, 26293277";"Springer";No;No;1,219;Q2;91;157;578;12750;2530;529;4,50;81,21;47,24;0;36;United States;Northern America;"Springer";"2009-2025";"Cancer Research (Q2); Cell Biology (Q2)";"Biochemistry, Genetics and Molecular Biology"
1337;27746;"Intensive and Critical Care Nursing";journal;"09643397, 15324036";"Churchill Livingstone";No;No;1,218;Q1;71;207;415;6728;1572;322;3,76;32,50;63,08;0;20;United States;Northern America;"Churchill Livingstone";"1992-2025";"Critical Care Nursing (Q1)";"Nursing"
1338;29586;"Journal of Guidance, Control, and Dynamics";journal;"15333884, 07315090";"American Institute of Aeronautics and Astronautics Inc. (AIAA)";No;No;1,218;Q1;170;210;583;7577;2219;424;3,49;36,08;17,74;0;15;United States;Northern America;"American Institute of Aeronautics and Astronautics Inc. (AIAA)";"1978-2025";"Aerospace Engineering (Q1); Applied Mathematics (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Space and Planetary Science (Q2)";"Earth and Planetary Sciences; Engineering; Mathematics"
1339;20122;"Women's Health Issues";journal;"10493867, 18784321";"Elsevier Inc.";No;No;1,217;Q1;75;74;253;3420;729;214;2,52;46,22;79,34;1;63;United States;Northern America;"Elsevier Inc.";"1990-2025";"Health (social science) (Q1); Maternity and Midwifery (Q1); Obstetrics and Gynecology (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine; Nursing; Social Sciences"
1340;12100154911;"Anatomical Sciences Education";journal;"19359772, 19359780";"John Wiley &amp; Sons Inc.";No;No;1,216;Q1;76;165;290;8336;1281;243;3,92;50,52;45,96;0;34;United States;Northern America;"John Wiley &amp; Sons Inc.";"2008-2025";"Anatomy (Q1); Embryology (Q1); Histology (Q1); Medicine (miscellaneous) (Q1)";"Medicine"
1341;5700191218;"Geosphere";journal;"1553040X";"Geological Society of America";Yes;No;1,216;Q1;84;68;248;7630;703;248;2,90;112,21;31,80;0;7;United States;Northern America;"Geological Society of America";"2005-2024";"Geology (Q1); Stratigraphy (Q1)";"Earth and Planetary Sciences"
1342;13068;"Spine";journal;"03622436, 15281159";"Wolters Kluwer Health";No;No;1,216;Q1;300;396;1057;11395;3246;958;3,30;28,78;20,09;0;44;United States;Northern America;"Wolters Kluwer Health";"1976-2025";"Neurology (clinical) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1)";"Health Professions; Medicine"
1343;21764;"AIDS Patient Care and STDs";journal;"15577449, 10872914";"Mary Ann Liebert Inc.";No;No;1,215;Q1;98;60;196;2404;666;173;3,24;40,07;58,10;1;57;United States;Northern America;"Mary Ann Liebert Inc.";"1996-2025";"Infectious Diseases (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine"
1344;33722;"Journal of Agricultural and Food Chemistry";journal;"15205118, 00218561";"American Chemical Society";No;No;1,215;Q1;358;2362;4682;128911;31813;4659;6,40;54,58;44,39;4;438;United States;Northern America;"American Chemical Society";"1953-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Chemistry"
1345;21100904990;"Kidney Medicine";journal;"25900595";"Elsevier Inc.";Yes;No;1,214;Q1;28;178;507;4769;1333;410;2,67;26,79;42,84;0;101;United States;Northern America;"Elsevier Inc.";"2019-2025";"Internal Medicine (Q1); Nephrology (Q1)";"Medicine"
1346;21100239652;"International Conference for High Performance Computing, Networking, Storage and Analysis, SC";conference and proceedings;"21674337, 21674329";"IEEE Computer Society";No;No;1,214;-;75;112;298;6037;1503;289;3,36;53,90;20,14;0;9;United States;Northern America;"IEEE Computer Society";"2012-2017, 2019-2024";"Computer Networks and Communications; Computer Science Applications; Hardware and Architecture; Software";"Computer Science"
1347;29539;"Journal of Hydrometeorology";journal;"1525755X, 15257541";"American Meteorological Society";No;No;1,213;Q1;154;92;403;5846;1317;397;2,79;63,54;31,33;0;23;United States;Northern America;"American Meteorological Society";"2000-2025";"Atmospheric Science (Q1)";"Earth and Planetary Sciences"
1348;16248;"Journal of Attention Disorders";journal;"10870547, 15571246";"SAGE Publications Inc.";No;No;1,212;Q1;93;146;483;8103;1749;477;3,54;55,50;54,98;0;23;United States;Northern America;"SAGE Publications Inc.";"1996-2025";"Clinical Psychology (Q1); Developmental and Educational Psychology (Q1)";"Psychology"
1349;23288;"Topics in Early Childhood Special Education";journal;"02711214, 15384845";"SAGE Publications Inc.";No;No;1,212;Q1;66;41;84;1995;359;79;3,37;48,66;84,78;2;18;United States;Northern America;"SAGE Publications Inc.";"1981-2025";"Education (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine; Social Sciences"
1350;4700152268;"CONTINUUM Lifelong Learning in Neurology";journal;"10802371, 15386899";"Lippincott Williams and Wilkins";No;No;1,211;Q1;65;104;256;5933;928;228;3,79;57,05;48,94;0;18;United States;Northern America;"Lippincott Williams and Wilkins";"2006-2025";"Genetics (clinical) (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)";"Medicine"
1351;21100286318;"Energy, Sustainability and Society";journal;"21920567";"Springer Science + Business Media";Yes;No;1,210;Q1;47;66;146;4740;820;142;5,39;71,82;34,75;1;63;United States;Northern America;"Springer Science + Business Media";"2011-2025";"Development (Q1); Energy Engineering and Power Technology (Q1); Renewable Energy, Sustainability and the Environment (Q2)";"Energy; Social Sciences"
1352;19700200832;"Technology, Knowledge and Learning";journal;"22111662, 22111670";"Springer Science + Business Media";No;No;1,210;Q1;45;149;207;10226;1460;206;6,74;68,63;44,61;1;66;United States;Northern America;"Springer Science + Business Media";"2011-2025";"Computational Theory and Mathematics (Q1); Computer Science Applications (Q1); Education (Q1); Engineering (miscellaneous) (Q1); Human-Computer Interaction (Q1); Mathematics (miscellaneous) (Q1); Theoretical Computer Science (Q1)";"Computer Science; Engineering; Mathematics; Social Sciences"
1353;21309;"AIDS";journal;"14735571, 02699370";"Lippincott Williams and Wilkins";No;No;1,209;Q1;233;322;1014;9959;2324;772;2,14;30,93;54,72;0;287;United States;Northern America;"Lippincott Williams and Wilkins";"1987-2025";"Infectious Diseases (Q1); Immunology (Q2); Immunology and Allergy (Q2)";"Immunology and Microbiology; Medicine"
